Gene stable ID,drug_claim_name,drug_target_genes,genes_PPI1
ENSG00000004468,#CD38-specific gene-engineered T cells#CART-38 cells#Anti-CD38 CAR-T cells#CD38 CAR-T Cell#MEZAGITAMAB#THROMBIN#-SAR 650984.00#DARATUMUMAB#CD38 and BCMA CAR-T Cells#MOR-202#CAR-T cells targeting CD38#HUMAX-CD38#4SCAR19 and 4SCAR38#CD38 CAR T cells#ISATUXIMAB#FELZARTAMAB#Daratumumab#HUMAX-IL15#SAR 650984.00,,",ENSG00000242110,ENSG00000147697,ENSG00000164047,ENSG00000108590"
ENSG00000004478,#RAPAMYCIN#IMMUNOSUPPRESSIVE,,",ENSG00000186197"
ENSG00000004487,#NAMOLINE#TRANYLCYPROMINE HYDROCHLORIDE#PARNATE#BOMEDEMSTAT#2-[N-(PHTHALIMIDO)]ETHYL CARBAMIMIDOTHIOATE HCL,,",ENSG00000111790,ENSG00000164047,ENSG00000111087"
ENSG00000004779,#METFORMIN HYDROCHLORIDE#NV-128#ME-344,,",ENSG00000150961,ENSG00000122376,ENSG00000184697,ENSG00000272398,ENSG00000124571,ENSG00000152952,ENSG00000167080,ENSG00000169855"
ENSG00000005022,#CLODRONATE#BUTYRATE#TRICHOSTATIN A,,",ENSG00000168002,ENSG00000185049,ENSG00000082258,ENSG00000105656,ENSG00000129315,ENSG00000197837,ENSG00000144161,ENSG00000204356,ENSG00000128915,ENSG00000166477,ENSG00000103363,ENSG00000100142,ENSG00000136807,ENSG00000099817,ENSG00000164151,ENSG00000154582,ENSG00000140395,ENSG00000181222,ENSG00000144597,ENSG00000149136,ENSG00000124635,ENSG00000144231,ENSG00000101158,ENSG00000145088,ENSG00000072364,ENSG00000130382,ENSG00000177700,ENSG00000109911,ENSG00000011007,ENSG00000134371,ENSG00000198730,ENSG00000129460,ENSG00000164751,ENSG00000225830,ENSG00000137815,ENSG00000171703,ENSG00000124578,ENSG00000092201,ENSG00000102978,ENSG00000155827,ENSG00000105258,ENSG00000213246,ENSG00000103549,ENSG00000047315,ENSG00000187735,ENSG00000172493,ENSG00000196235,ENSG00000109111,ENSG00000188986,ENSG00000118985,ENSG00000171843,ENSG00000128886"
ENSG00000005339,#(-)-ROLIPRAM#DIETHYL-2-PENTADECYLMALONATE#THERAPEUTIC GLUCOCORTICOID#ALPRAZOLAM#COLCHICINE#C 82#DIETHYL-2-TETRADECYLIDENEMALONATE#DIETHYL-2-UNDECYLIDENEMALONATE#TRACAZOLATE#TRIAZOLAM#PAPAVERINE#NOCODAZOLE#DIETHYL-2-TETRADECYLMALONATE#C646#ESTAZOLAM#PRI-724#DIETHYL-2-TRIDECYLMALONATE#MIDAZOLAM#OXOGLAUCINE#PRI-724#DNDI1417457#DIETHYL-2-DODECYLIDENEMALONATE#Pyrrolo-pyrrolone derivative 6#ETAZOLATE,,",ENSG00000132394,ENSG00000102100,ENSG00000183579,ENSG00000226761"
ENSG00000005381,#FLUTAMIDE#FENTANYL#LITHIUM#PSORALEN#OCTREOTIDE#SULFONES#DICLOFENAC#RHIL-11#PROPYLTHIOURACIL#NIMESULIDE#LIDOCAINE#DOXYCYCLINE#FLUDARABINE#TPN#AZD4831#TOLMETIN#GRANULOCYTE COLONY-STIMULATING FACTOR#THEOPHYLLINE#TRIMETHOPRIM#CI-921#TENECTEPLASE#DMSO#ANTICOAGULANT#D-ALPHA-TOCOPHEROL ACETATE#AZD-3241#VERDIPERSTAT#DIMETHYL SULFOXIDE#XANTHINE OXIDASE INHIBITOR#PYRAZINAMIDE#METHYLENE BLUE#E-101#IMMUNOMODULATING AGENT#LORATADINE,,",ENSG00000164816"
ENSG00000005421,#QUERCETIN#Tumor necrosis factor alpha (TNF-alpha) inhibitors#simvastatin,,",ENSG00000229117,ENSG00000145414"
ENSG00000005844,#OPIOID#OPIOIDS#RAPAMYCIN#ANTITHYMOCYTE GLOBULIN#EFALIZUMAB#CYCLOSPORIN A#LYMPHOKINES#ROVELIZUMAB#CASEARINONE B#CLOBETASOL PROPIONATE#CHEMOKINES#THROMBIN#ETOPOSIDE#HYDROGEN PEROXIDE#BUSULFAN#ANTITHYMOCYTE GLOBULIN#LIFITEGRAST#CASEARINONE A#CYCLOPHOSPHAMIDE#CD40L#EPO#ATG#Cytolin#CASEARINOL B#CYCLOSPORINE#RTX#EFALIZUMAB#EFALIZUMAB#MIP-1 ALPHA#CSA#GP39#FK 506#5-FU#SAR 1118.00#MMF#lifitegrast#H2O2#RECOMBINANT INTERFERON BETA-1A#STAUROSPORINE#CYTOLIN#Efalizumab#ODULIMOMAB#PMA,,",ENSG00000069248,ENSG00000166263,ENSG00000074211"
ENSG00000005882,#CPI-613#SODIUM DICHLOROACETATE,,",ENSG00000100441"
ENSG00000005961,#ABCIXIMAB#EPTIFIBATIDE#THROMBIN#ENOXAPARIN#TIROFIBAN#ABCIXIMAB#TIROFIBAN HYDROCHLORIDE#ZALUNFIBAN#tirofiban#RECOMBINANT TISSUE PLASMINOGEN ACTIVATOR#ABCIXIMAB#EPTIFIBATIDE#eptifibatide#ASPIRIN#ANTIANGIOGENIC#TIROFIBAN#TADOCIZUMAB#abciximab#GANTOFIBAN,,",ENSG00000114019,ENSG00000196139"
ENSG00000006071,"#TOLBUTAMIDE SODIUM, STERILE#Tolbutamide#Gliclazide#NATEGLINIDE#GLIPIZIDE#Acetohexamide#NAMINIDIL#MITIGLINIDE#MITIGLINIDE CALCIUM DIHYDRATE#TOLBUTAMIDE#GLICLAZIDE#sulfonamides, urea derivatives#NATEGLINIDE#Intravenous glibenclamide#REPAGLINIDE#GLIMEPIRIDE#Glimepiride#GLIMEPIRIDE#NN-414#CHLORPROPAMIDE#REPAGLINIDE#GLYBURIDE#Glibenclamide#TOLAZAMIDE#GLIQUIDONE#DIAZOXIDE CHOLINE#BERBERINE CHLORIDE#SARAKALIM#BERBERRUBINE#GLYBURIDE#Repaglinide#ACETOHEXAMIDE#MITIGLINIDE",,",ENSG00000092096"
ENSG00000006116,#GABAPENTIN#PHLOROGLUCINOL#TERODILINE HYDROCHLORIDE#IMAGABALIN#SULOCTIDIL#ATAGABALIN#GABAPENTIN ENACARBIL#PREGABALIN#antipsychotics#BEPRIDIL HYDROCHLORIDE,,",ENSG00000129055"
ENSG00000006210,#ATEZOLIZUMAB#COMPLETE FREUND&APOS;S ADJUVANT#QUETMOLIMAB,,",ENSG00000275700,ENSG00000113594"
ENSG00000007171,#ANTIDEPRESSANTS#KD-7040#CR-3294#TILARGININE#CAPTOPRIL#doxorubicin#BENZODIAZEPINE#GW-274150#RHIL-11#ibuprofen#SD-6010#MPL-S#rifampin#OESTRADIOL#Pimagedine HCl#TILARGININE ACETATE#ECG#ISOTHIOUREA#BXT-51072#HP-228#KLH#BANOXANTRONE#VEGF#Curcumin#Aminoguanidine#GW274150#DMSO#TYROSINE KINASE INHIBITORS#KD7040#DNCB#FLUOXETINE#CONJUGATED ESTROGENS#THEOPHYLLINE#KD7040#DOXYCYCLINE#NIMODIPINE#STEROID HORMONE#LT-1951#DIAZOXIDE#PROPOFOL#TILARGININE#OPIATE,,",ENSG00000118137"
ENSG00000007312,#MGD010#RG7596#POLATUZUMAB VEDOTIN#Polatuzumab vedotin#DCDS-4501A,,",ENSG00000150672,ENSG00000006652,ENSG00000092421"
ENSG00000007402,#PHLOROGLUCINOL#GABAPENTIN#celecoxib#remifentanil#IMAGABALIN#ATAGABALIN#BUDIODARONE#SAFINAMIDE#SULOCTIDIL#XP13512#TERODILINE HYDROCHLORIDE#GABAPENTIN#GABAPENTIN ENACARBIL#MIROGABALIN BESYLATE#GABAPENTIN#BEPRIDIL HYDROCHLORIDE#PREGABALIN,,",ENSG00000129055"
ENSG00000007908,#fluorouracil#GMI-1070#CDP-850#capecitabine#RIVIPANSEL#UPROLESELAN#CY-1503#GMI-1070#GMI-1359#BIMOSIAMOSE#GMI-1271#leucovorin#SIALYL LEWIS X#BIMOSIAMOSE#Bimosiamose#oxaliplatin,,",ENSG00000183751,ENSG00000168671"
ENSG00000007952,#SETANAXIB#TCMDC-125505#PHENOTHIAZINE,,",ENSG00000069493,ENSG00000167419"
ENSG00000008018,#MARIZOMIB#IXAZOMIB#OPROZOMIB#CARFILZOMIB#CARFILZOMIB#CARFILZOMIB#BORTEZOMIB#BORTEZOMIB#MLN-9708#BORTEZOMIB#MG-132#CARFILZOMIB#OPROZOMIB#BORTEZOMIB#IXAZOMIB CITRATE#BORTEZOMIB,,",ENSG00000126777,ENSG00000186642,ENSG00000116288,ENSG00000121351,ENSG00000164597,ENSG00000138435,ENSG00000102158"
ENSG00000008405,#lithium,,",ENSG00000096384,ENSG00000080824,ENSG00000100591,ENSG00000142208,ENSG00000082175,ENSG00000113580,ENSG00000109971,ENSG00000132002,ENSG00000171497,ENSG00000174842,ENSG00000170606,ENSG00000110958,ENSG00000151623,ENSG00000168439,ENSG00000081913,ENSG00000096060,ENSG00000169083,ENSG00000198793"
ENSG00000008988,#ATALUREN#MT-3724#ELX-02#DORLIMOMAB ARITOX#CYCLOHEXIMIDE,,",ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000169248,ENSG00000081041,ENSG00000169245,ENSG00000169855,ENSG00000107562,ENSG00000163739,ENSG00000108688,ENSG00000172156,ENSG00000188393,ENSG00000184697,ENSG00000147065,ENSG00000105205,ENSG00000114933,ENSG00000198728,ENSG00000134262,ENSG00000182768,ENSG00000111196,ENSG00000149557,ENSG00000163464,ENSG00000161921,ENSG00000131748,ENSG00000108700,ENSG00000180871"
ENSG00000009413,#fluorouracil#capecitabine,,",ENSG00000184260,ENSG00000168710"
ENSG00000009830,#dichloroacetic acid,,",ENSG00000185304"
ENSG00000010278,#TYROSINE KINASE INHIBITOR#LIF#IL-5#EOTAXIN#PROPIONIBACTERIUM ACNES#ANDROGENS#INTERLEUKIN-16#HERBIMYCIN A#STEROID HORMONE,,",ENSG00000160999"
ENSG00000010610,#Fluoropeptide vaccine#ANTIVIRAL#ZANOLIMUMAB#Zanolimumab#ANTITHYMOCYTE GLOBULIN#VRC-01LS#LIPO-4#BT-061#KELIXIMAB#HERBIMYCIN#ZANOLIMUMAB#IBALIZUMAB#Ibalizumab#PRILIXIMAB#CLENOLIXIMAB#Protein vaccines#BT-061#TRX-1#SEMZUVOLIMAB#ANTISENSE OLIGONUCLEOTIDES#TNX-355#TREGALIZUMAB#CEDELIZUMAB#TRX1,,",ENSG00000151687,ENSG00000160999,ENSG00000275700,ENSG00000184207,ENSG00000100938,ENSG00000151413,ENSG00000150779,ENSG00000143382,ENSG00000121879,ENSG00000032742,ENSG00000197753"
ENSG00000010671,"#TOLEBRUTINIB#RG-1530#DNDI1417467#BGB-3113#M7583#BIIB068#GDC-0853#ACP-319#Imidazopyridine derivative 4#Pyrrolo[2,3-d]pyrimidine derivative 15#Pyrrolo[2,3-d]pyrimidine derivative 17#Pyrrolo[2,3-d]pyrimidine derivative 20#Pyrrolo[2,3-d]pyrimidine derivative 23#Pyrrolo[2,3-d]pyrimidine derivative 25#Pyrrolo[2,3-d]pyrimidine derivative 32#RG7845#TIRABRUTINIB#DOVITINIB#ILORASERTIB#ENTRECTINIB#AZD-1152-HQPA#ZM-447439#AVL-292#Acalabrutinib#M2951#DASATINIB#IBRUTINIB#HESPERADIN#TAMATINIB#AG-1879#PF-562271#ARQ 531#ABIVERTINIB#CENISERTIB#TOZASERTIB#AS703569#PRN1008#BMS-986142#TAE-684#POSELTINIB#FENEBRUTINIB#ORELABRUTINIB#PMID27774824-Compound-Figure12Example1#Pyrazolo[4,3-c]pyridine derivative 2#Pyrrolo[2,3-d]pyrimidine derivative 12#Pyrrolo[2,3-d]pyrimidine derivative 14#Pyrrolo[2,3-d]pyrimidine derivative 18#Pyrrolo[2,3-d]pyrimidine derivative 19#Pyrrolo[2,3-d]pyrimidine derivative 26#Pyrrolo[2,3-d]pyrimidine derivative 30#Pyrrolo[2,3-d]pyrimidine derivative 31#ACP-196#CC-292#GS-4059#PD-0166285#IBRUTINIB#ibrutinib#IBRUTINIB#BMS-986142#MSC-2364447#ZANUBRUTINIB#BRANEBRUTINIB#LOU064#PCI-45292#PMID27774824-Compound-Figure12Example61#Pyrrolo[2,3-d]pyrimidine derivative 22#EVOBRUTINIB#RILZABRUTINIB#VANDETANIB#ACALABRUTINIB#DTRMWXHS 12#EDRALBRUTINIB#IBRUTINIB#Ibrutinib#VECABRUTINIB#ALISERTIB#AS703569#BTK inhibitor#ELSUBRUTINIB#BGB-3112#AC0058TA#BGB-3111#PRN2246#Ibrutinib companion diagnostic#PMID27774824-Compound-Figure12Example10#Pyrrolo[2,3-d]pyrimidine derivative 13#Pyrrolo[2,3-d]pyrimidine derivative 16#Pyrrolo[2,3-d]pyrimidine derivative 21#Pyrrolo[2,3-d]pyrimidine derivative 27#Pyrrolo[2,3-d]pyrimidine derivative 28#Pyrrolo[2,3-d]pyrimidine derivative 29#Pyrrolo[2,3-d]pyrimidine derivative 33#TAK-020#ABIVERTINIB MALEATE#SPEBRUTINIB BESYLATE#PIRTOBRUTINIB#ACALABRUTINIB MALEATE#ONO-4059#Ibrutinib#PF-06651600#Ibrutinib#IBRUTINIB#IBRUTINIB#MLN-8054#Vecabrutinib",,",ENSG00000170037,ENSG00000006652,ENSG00000150672,ENSG00000123095"
ENSG00000010810,#ILORASERTIB#681640#ILORASERTIB#ZM-447439#KENPAULLONE#AG-1879#TCMDC-125758#TAE-684#TAMATINIB#HESPERADIN#TOZASERTIB#ENTRECTINIB#CENISERTIB#RG-1530#CYC-116#PF-562271#DOVITINIB#AZAKENPAULLONE#PD-0166285#JNJ-26483327#DASATINIB#XL-228#Dasatinib#CEDIRANIB#VEGF#BARASERTIB#OSI-632#ENMD-2076#ENMD-981693#VANDETANIB#DASATINIB#IL-2#TG100-801#AZD-1775#JNJ-26483327#PAZOPANIB#AST-487#DASATINIB,,",ENSG00000108590,ENSG00000150672,ENSG00000161981,ENSG00000123095,ENSG00000170037,ENSG00000164877,ENSG00000160710"
ENSG00000011304,#MMV085203#SJ000154295#SJ000044511#DNDI1417941#GNF-PF-4418#ELLIPTECINE,,",ENSG00000173269"
ENSG00000011405,#BAY80-6946#XL147#SF1126#BEZ235#PWT33597#PI-103#SOPHORETIN#GDC-0980#BYL719#PF-4691502#MCP-1#BKM120#PX-866#GDC-0941#XL-765#GSK2636771#PKI-587#BGJ398,,",ENSG00000170037,ENSG00000117153,ENSG00000130876"
ENSG00000011422,#PHORBOL MYRISTATE ACETATE#ADENOVIRAL VECTOR#RECOMBINANT INTERFERON GAMMA#DIPHTHERIA TOXIN#Ruxolitinib#G-CSF#MCP-2#UROKINASE,,",ENSG00000114019,ENSG00000197079"
ENSG00000011465,#RAPAMYCIN#ASCORBIC ACID#HSP70#IFN,,",ENSG00000166136,ENSG00000141522,ENSG00000198833,ENSG00000101336,ENSG00000108349,ENSG00000114019,ENSG00000121410,ENSG00000102349"
ENSG00000011485,#LB-100,,",ENSG00000198963"
ENSG00000012048,"#P-HYDROXYPHENETHYL ANISATE#PACLITAXEL#CEDIRANIB#Rucaparib#BMN673#Rucaparib#NSC-636948#PLATINUM COMPOUND#AURINTRICARBOXYLIC ACID#PURPURIN#DAUNORUBICIN HYDROCHLORIDE#Olaparib#CISPLATIN#7-HYDROXY ISOFLAVONE#TCMDC-125221#GNF-PF-860#2-PHENYLQUINOLINE#VINORELBINE#Niraparib#DIPYRIDAMOLE#RIBOFLAVIN#CALYCOSIN#SCH-53020#NILE RED#VU001171#GNF-PF-3501#PT-101#PIFEXOLE#DAIDZIN#SJ000039423#DNDI1417484#SEMUSTINE#EMODIN#QUARFLOXIN#RUCAPARIB#METHYL 4-(3-METHOXYBENZAMIDO)BENZOATE#6,4'-DIHYDROXYFLAVONE#N-(3-PHENYLPROPYL)BENZAMIDE#NSC-88165#TIAPROFENIC ACID#ILEPCIMIDE#GAMMA-FAGARINE#THUNBERGINOL E#TCMDC-124327#N-(4-NITROPHENYL)ANTHRANILIC ACID#GLABRIDIN#Cisplatin#VELIPARIB#NIRAPARIB#7,4'-DIMETHOXYISOFLAVONE#VITAMIN B2#ONONIN#PHYTOESTROGEN#HORMONES#PIDNARULEX#DNDI1418024#CARBOPLATIN#THIABENDAZOLE#ACRIFLAVINE CHLORIDE#DEPHOSTATIN#MITOXANTRONE#MITOMYCIN C#CARBOPLATIN#RUCAPARIB#WISTIN#6-HYDROXYFLAVONE#2-METHOXYPHENAZINE#talazoparib#OXALIPLATIN#rucaparib#SB-204741#2-PHENYLACETYLAMINOBENZOTHIAZOLE#BLEOMYCIN#DOXORUBICIN HYDROCHLORIDE#Veliparib#E7449#TCMDC-123480#PIPERINE#QUINALIZARIN#CISPLATIN#Olaparib#olaparib#OLAPARIB#GEMCITABINE#GNF-PF-1577#TAMOXIFEN#IROFULVEN#ANTHRACYCLINE#Platinum Agent#OXALIPLATIN#TCMDC-125785#DIMETHYL YELLOW#CHRYSIN DIMETHYL ETHER#Talazoparib#TAXANE COMPOUND#PHENAMIL METHANESULFONATE#APIGENIN#TALAZOPARIB#NSC-93401#TCMDC-124307#TCMDC-125575#7-O-ACETYLAFROMOSIN#HARMALOL#DOXORUBICIN#PYRIDINE-2-CARBOTHIOIC ACID PHENYLAMIDE#DNDI1417353#3-PHENYLUMBELLIFERONE#TANSHINONE IIA SULFONATE#OLAPARIB#7-HYDROXYFLAVONE#7,3',4'-TRIMETHOXYISOFLAVONE#VELIPARIB#CISPLATIN#niraparib#GEMCITABINE#DNDI1417078#RESVERATROL#tamoxifen",,",ENSG00000108771,ENSG00000183579,ENSG00000110448,ENSG00000126870,ENSG00000141646,ENSG00000149557,ENSG00000111087"
ENSG00000012124,#IMMUNOTOXIN#CART22 cells#4SCAR19 and 4SCAR22#CD19/CD22 Chimeric Antigen Receptor T Cells#OSPA LIPOPROTEIN#EPRATUZUMAB 90Y#Moxetumomab pasudotox#BL22#CART22 cells expressing anti-CD22 scFv TCRz:41BB#CD19-TCRz-41BB and CD22-TCRz-41BB CAR-T Cells#CD22-Targeted CAR-T cells#CD19/CD22 CAR T cells#Patient-derived CD19- and CD22 specific CAR#CD19 and CD22 CAR-T Cells#Donor-derived CD19/22 bispecific CAR-T cells#Dual Specificity CD19 and CD22 CAR-T Cell#CART-19/22#CART22-65s cells and huCART19 Cells#YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN#PINATUZUMAB VEDOTIN#BECTUMOMAB#MOXETUMOMAB PASUDOTOX#EPRATUZUMAB#CD22 CAR-T#EPRATUZUMAB#JCAR018#Targeted ranpirnase conjugates#BL-22#Retroviral vector-transduced autologous T cells to express CD22-specific CARs#Anti-CD22 CAR-T cells#CD22-specific CAR T-cells also expressing an EGFRt#CART-22 cells#CD22-CART#CD19/CD22 CAR T-Cells#INOTUZUMAB OZOGAMICIN#OSPA LIPOPROTEIN#Inotuzumab ozogamicin#Combotox#OspA lipoprotein#HLL2#Epratuzumab#IMMURAIT-LL2#Anti-CD22#4SCAR19/22 T cells#Anti-CD19/22-CAR vector-transduced T cells#CAR-T cells targeting CD22#Anti-CD22-CAR-transduced T cells#CART22-65s cells#INOTUZUMAB OZOGAMICIN#AUTO3#INOTUZUMAB#MONO-DGA-RFB4#YTTRIUM Y 90 EPRATUZUMAB,,",ENSG00000150672"
ENSG00000012223,#BACITRACIN#Talactoferrin#Parecoxib#RESERPINE#HLF 1-11,,",ENSG00000116031,ENSG00000164816"
ENSG00000012779,#MECLOFENAMATE SODIUM#SKF-105809#BIM23A760#Zileuton#LICOFELONE#BALSALAZIDE#MECLOFENAMIC ACID#Darbufelone#PTC299#BALSALAZIDE DISODIUM#ZILEUTON#ZILEUTON#ZILEUTON#CMI-392#BF-389#FPL-62064#ABT-761#ANACARDIC ACID#PF-4191834#MELATONIN#METHOTREXATE#GLUCOCORTICOID#MECLOFENAMIC ACID#Tipelukast#Silymarin#VIA-2291#6-DECYLSALICYLIC ACID#ATRELEUTON#NDGA#Leukotriene receptor antagonists#ZILEUTON#MK-866#zileuton#ACACETIN#MESALAZINE#MESALAMINE#MESALAMINE#SULFASALAZINE#Rilopirox#6BIO#Tepoxalin#OLSALAZINE SODIUM#montelukast#ZILEUTON#WY-50295-tromethamine#TA-270#UCB-35440#E-6700#Flobufen#Avastin+/-Tarceva#Diethylcarbamazine#PF-4191834#5-OXO-ETE#TENIDAP#6-PENTYLSALICYLIC ACID#SELENIUM,,",ENSG00000106689,ENSG00000213221,ENSG00000181222"
ENSG00000013275,#CARFILZOMIB#OPROZOMIB#CARFILZOMIB#CARFILZOMIB#IXAZOMIB#BORTEZOMIB#BORTEZOMIB#IXAZOMIB CITRATE#BORTEZOMIB,,",ENSG00000121351,ENSG00000197043,ENSG00000126777,ENSG00000186642,ENSG00000102158,ENSG00000164597,ENSG00000160688"
ENSG00000013725,#ONCOLYSIN CD6#Itolizumab#ITOLIZUMAB,,",ENSG00000123095"
ENSG00000014138,#FLUDARABINE PHOSPHATE#CYTARABINE#CLOFARABINE#ASPACYTARABINE#TROXACITABINE#DACARBAZINE#GEMCITABINE HYDROCHLORIDE#DACARBAZINE,,",ENSG00000168710,ENSG00000204928,ENSG00000176058,ENSG00000184260,ENSG00000081853,ENSG00000137710,ENSG00000092820,ENSG00000118965,ENSG00000100142,ENSG00000108771"
ENSG00000015285,#WASP gene therapy#Hematopoietic stem cell gene therapy,,",ENSG00000163029,ENSG00000173482,ENSG00000213218,ENSG00000123095"
ENSG00000015532,#gemcitabine#carboplatin,,",ENSG00000114388"
ENSG00000017427,#BI-836845#XENTUZUMAB#Xentuzumab#NNZ-2566#MEDI-573#RECOMBINANT HUMAN INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN-3#DUSIGITUMAB,,",ENSG00000101336,ENSG00000114019,ENSG00000124383"
ENSG00000017797,#fluorouracil#bevacizumab#irinotecan#carbamazepine#DOX#leucovorin#vincristine,,",ENSG00000166391"
ENSG00000018625,#DIGITOXIN#DIGOXIN#ISTAROXIME#olanzapine#ACETYLDIGITOXIN#DESLANOSIDE#LANATOSIDE C,,",ENSG00000100413,ENSG00000175324"
ENSG00000019186,#daclatasvir#Lunacalcipol#CALCITRIOL#VITAMIN D#deferasirox#telaprevir#CTA018#tenofovir disoproxil fumarate,,",ENSG00000160014,ENSG00000164867,ENSG00000167965"
ENSG00000019582,#Milatuzumab#MILATUZUMAB#platinum#MILATUZUMAB#MILATUZUMAB,,",ENSG00000182768,ENSG00000149557,ENSG00000198728,ENSG00000169855,ENSG00000188393,ENSG00000184697,ENSG00000169271,ENSG00000197753"
ENSG00000019991,#IL-1#SODIUM HEPARIN#EGCG#AMG 102#SHO-SAIKO-TO#RILOTUMUMAB#Cabozantinib#VM-202#Ficlatuzumab#METHOTREXATE#Trastuzumab#AMG-102#FICLATUZUMAB#ASPIRIN#FICLATUZUMAB#FICLATUZUMAB#RILOTUMUMAB#RESERPINE#ABI-011#THALIDOMIDE#PROTEOLYTIC ENZYMES#RESVERATROL#EQUINE CHORIONIC GONADOTROPIN#RHGH#FICLATUZUMAB#TAK-701#RILOTUMUMAB#MP0250#WORTMANNIN#STREPTOZOTOCIN#CA19-9#STI571,,",ENSG00000101336"
ENSG00000020633,#LEUCOVORIN#IRINOTECAN,,",ENSG00000121879"
